episode_number_overall,season,episode_number_in_season,Title,Directed by,Written by,original_air_date,english_air_date,rating,votes,description,type,,One Piece Ep.,IMDB Rating
1,1,1,"""Homecoming""Transcription: ""Kikyō"" (Japanese: 帰郷)",Masaaki Kumagai,Satoru Nishizono,15/02/2007,28/10/2009,8.1,841,Naruto returns to Konoha after a two-and-a-half-year training journey with Jiraiya and is reunited with Sakura.,Mixed Canon/Filler,,1,"
                            7.8
                        "
2,1,2,"""The Akatsuki Makes Its Move""Transcription: ""Akatsuki, Shidō"" (Japanese: 暁, 始動)",Atsushi Nigorikawa,Satoru Nishizono,15/02/2007,28/10/2009,7.9,650,"Kakashi gives Naruto and Sakura a test to see how far they had improved. Meanwhile, two Akatsuki members, Deidara and Sasori, arrive at the entrance of the Sunagakure to capture the One-Tailed Shukaku's host, Gaara.",Mixed Canon/Filler,,2,"
                            7.9
                        "
3,1,3,"""The Results of Training""Transcription: ""Shugyō no Seika"" (Japanese: 修業の成果)",Yuki Sugihara,Satoru Nishizono,22/02/2007,28/10/2009,7.9,573,"Sakura and Naruto both demonstrate their newly acquired skills. Meanwhile, Deidara commences his attack on Sunagakure and is confronted by Gaara.",Mixed Canon/Filler,,3,"
                            7.8
                        "
4,1,4,"""The Jinchuriki of the Sand""Transcription: ""Suna no Jinchūriki"" (Japanese: 砂の人柱力)",Kiyomu Fukuda,Satoru Nishizono,01/03/2007,28/10/2009,8.2,580,"Gaara is quick to detect Deidara's presence, and an aerial battle ensues with Deidara on his giant bird and Gaara atop sand.",Mixed Canon/Filler,,4,"
                            8.4
                        "
5,1,5,"""The Kazekage Stands Tall""Transcription: ""Kazekage to shite...!"" (Japanese: 風影として...!)",Yuki Kinoshita,Satoru Nishizono,15/03/2007,04/11/2009,8.1,543,"Naruto and Sakura defeat Kakashi in the survival challenge. Tsunade assigns them to a three-man squad led by Kakashi, who tells them they are now his equals.",Mixed Canon/Filler,,5,"
                            7.6
                        "
6,1,6,"""Mission Cleared""Transcription: ""Norumakuriā"" (Japanese: ノルマクリアー)",Mitsutaka Noshitani,Satoru Nishizono,29/03/2007,11/11/2009,8.1,538,"In order to protect his village from Deidara's explosive clay, Gaara uses his chakra to create a giant sand shield.",Mixed Canon/Filler,,6,"
                            7.8
                        "
7,1,7,"""Run, Kankuro""Transcription: ""Hashire Kankurō"" (Japanese: .mw-parser-output ruby>rt{font-feature-settings:""ruby""1;font-size:85%}.mw-parser-output ruby.large{font-size:250%}.mw-parser-output ruby.large>rt{font-size:50%}疾走（はし）れカンクロウ)",Hayato Goda,Satoru Nishizono,29/03/2007,18/11/2009,7.7,513,"Gaara, his strength completely exhausted, is whisked away by Deidara. Kankuro ignores Baki's efforts to stop him and immediately sets out in pursuit with a platoon to rescue Gaara.",Mixed Canon/Filler,,7,"
                            7.7
                        "
8,1,8,"""Team Kakashi, Deployed""Transcription: ""Shutsugeki, Kakashi-han"" (Japanese: 出撃, カカシ班)",Hiroshi Kimura,Satoru Nishizono,12/04/2007,02/12/2009,7.6,493,"On her way to the Sand Village, Temari encounters Kakashi and his team. Kakashi admonishes Naruto when he tries to rush ahead...",Mixed Canon/Filler,,8,"
                            7.8
                        "
9,1,9,"""The Jinchuriki's Tears""Transcription: ""Jinchūriki no Namida"" (Japanese: 人柱力の涙)",Masaaki Kumagai,Satoru Nishizono,12/04/2007,09/12/2009,7.5,487,An urgent message from the Sand Village detailing the Akatsuki's kidnapping of the Kazekage reaches the Hidden Leaf Village. Tsunade wastes no time in ordering Team Kakashi to the Sand Village.,Mixed Canon/Filler,,9,"
                            7.3
                        "
10,1,10,"""Sealing Technique: Phantom Dragons Nine Consuming Seals""Transcription: ""Fūin Jutsu: Genryū Kyū Fūjin"" (Japanese: 封印術·幻龍九封尽)",Eitaro Ano,Satoru Nishizono,19/04/2007,16/12/2009,7.4,476,"The Sand ninja fight against time to treat Kankuro. Even the Sand's poison expert, Granny Chiyo, is baffled. The only hope lies with the reinforcements sent by Tsunade.",Mixed Canon/Filler,,10,"
                            7.5
                        "
11,1,11,"""The Medical Ninja's Student""Transcription: ""Iryō Ninja no Deshi"" (Japanese: 医療忍者の弟子)",Atsushi Nigorikawa,Satoru Nishizono,26/04/2007,23/12/2009,7.6,482,"Sakura treats a critically ill Kankuro. After extensive training she's now a full-fledged Medic Ninja, and Sakura amazes everyone with her sure, steady hands.",Mixed Canon/Filler,,11,"
                            7.4
                        "
12,1,12,"""The Retired Granny's Determination""Transcription: ""Inkyo Babā no Ketsui"" (Japanese: 隠居ババアの決意)",Kiyomu Fukuda,Satoru Nishizono,03/05/2007,31/12/2009,7.8,481,"Pakkun finds the hideout of the Akatsuki. Team Kakashi and Temari prepare to set out to get Gaara back, but Temari is ordered to stay behind and help guard the village.",Mixed Canon/Filler,,12,"
                            7.8
                        "
