GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Tenure : Total\ Tenure - Unit : Persons,Tenure : Total\ Tenure - Unit : Households,Tenure : Owned - Unit : Persons,Tenure : Owned - Unit : Households,Total Owned outright per Person,Total Owned outright per Households,Tenure : Owned\ Owned with a mortgage or loan - Unit : Persons,Tenure : Owned\ Owned with a mortgage or loan - Unit : Households,Tenure : Owner occupied - Unit : Households,Tenure : Owner occupied\ Owned outright - Unit : Households,Tenure : Owner occupied\ Owned with a mortgage or loan - Unit : Households,Shared ownership (part owned and part rented) per Person,Shared ownership (part owned and part rented) per Households,Tenure : Social rented - Unit : Persons,Total Social rented per Households,Tenure : Social rented\ Rented from council (Local Authority) - Unit : Persons,Tenure : Social rented\ Rented from council (Local Authority) - Unit : Households,Tenure : Social rented\ Rented from Northern Ireland Housing Executive (NIHE) - Unit : Households,Tenure : Social rented\ Housing association or charitable trust - Unit : Households,Tenure : Social rented\ Other social rented - Unit : Persons,Tenure : Social rented\ Other social rented - Unit : Households,Tenure : Social rented\ Other social rented (including accommodation that is rented from a registered social landlord; housing association; housing co-operative or charitable trust) - Unit : Households,Tenure : Social rented\ Other - Unit : Households,Tenure : Rented\ Rented from council (Local Authority) - Unit : Households,Tenure : Rented\ Other social rented - Unit : Households,Tenure : Rented\ Private landlord or letting agency - Unit : Households,Tenure : Rented from Northern Ireland Housing Executive (NIHE) - Unit : Households,Tenure : Rented from housing association or charitable trust - Unit : Households,Tenure : Rented from other (including rented from an employer of a household member or relative or friend of a household member) - Unit : Households,Tenure : Rented from private landlord or letting agency - Unit : Households,Total Private rented per Persons,Total Private rented per Households,Tenure : Private rented\ Private landlord or letting agency - Unit : Persons,Tenure : Private rented\ Private landlord or letting agency - Unit : Households,Tenure : Private rented\ Employer of a household member - Unit : Persons,Tenure : Private rented\ Employer of a household member - Unit : Households,Tenure : Private rented\ Relative or friend of household member - Unit : Persons,Tenure : Private rented\ Relative or friend of household member - Unit : Households,Tenure : Private rented\ Other - Unit : Persons,Tenure : Private rented\ Other - Unit : Households,Tenure : Private rented\ Other than private landlord or letting agency - Unit : Households,Total Living rent-free per Persons,Living rent-free per Households
K02000001,United Kingdom,Countries and Groupings,CTRY,62055838,26442096,40505764,,15919876,8093442,24555519,8691561,,,,409360,192648,10371983,,5690110,,2601715,,4681873,,2198050,,,,,,,,,10116104,,9235127,3925141,172185,,541875,,166917,,375945,682996,363594
K03000001,Great Britain,Countries and Groupings,CTRY,60267499,25738821,39220651,,15409561,7867597,23790742,8446899,,,,399339,188404,10152271,,5519229,,2520825,,4633042,,2174055,,,,,,,,,9863595,,9007024,3829926,168483,,525327,,162761,,365144,651991,345971
K04000001,England and Wales,Countries and Groupings,CTRY,55071113,23366044,35813691,14853678,14156368,7206954,21657323,7646724,,,,378991,178236,9036726,4118461,4911077,2208080,2208080,,4125649,1910381,1910381,1910381,,,,,,,,9244758,3900178,8453786,3566467,157060,57099,481428,214150,152484,62462,333711,596947,315491
E92000001,England,Countries and Groupings,CTRY,52059931,22063368,33740906,13975024,13260548,6745584,20480358,7229440,,,,369442,173760,8570417,3903550,4628071,2079778,2079778,,3942346,1823772,1823772,1823772,,,,,,,,8818651,3715924,8071527,3401675,152287,55211,448845,199428,145992,59610,314249,560515,295110
N92000002,Northern Ireland,Countries and Groupings,CTRY,1788339,703275,1285113,,510315,225845,764777,244662,474751,225845,244662,10021,4244,219712,104885,170881,80890,80890,23995,48831,,23995,23995,,,,80890,23995,10801,95215,252509,106016,228103,95215,3702,1216,16548,7784,4156,1801,10801,31005,17623
S92000003,Scotland,Countries and Groupings,CTRY,5196386,2372777,3406960,1470986,1253193,660643,2133419,800175,,,,20348,10168,1115545,576419,608152,312745,312745,,507393,263674,263674,263674,312745,263674,263459,,,,,618837,294892,553238,263459,11423,4181,43899,22670,10277,31433,31433,55044,30480
W92000004,Wales,Countries and Groupings,CTRY,3011182,1302676,2072785,878654,895820,461370,1176965,417284,,,,9549,4476,466309,214911,283006,128302,128302,,183303,86609,86609,86609,,,,,,,,426107,184254,382259,164792,4773,1888,32583,14722,6492,2852,19462,36432,20381
E12000001,North East,Regions,RGN,2550818,1129935,1647519,698595,617458,323084,1030061,375511,,,,8207,4098,520106,259506,349032,167593,167593,,171074,91913,91913,91913,,,,,,,,351117,154426,318764,139624,3248,1320,23368,11039,5737,2443,14802,23869,13310
E12000002,North West,Regions,RGN,6927820,3009549,4671253,1941564,1833329,934101,2837924,1007463,,,,30888,15787,1129256,550481,493348,231730,231730,,635908,318751,318751,318751,,,,,,,,1026012,462899,943071,424667,7577,3127,62314,28622,13050,6483,38232,70411,38818
E12000003,Yorkshire and The Humber,Regions,RGN,5185677,2224059,3458411,1425563,1357743,681492,2100668,744071,,,,19539,9637,833458,402653,573607,272875,272875,,259851,129778,129778,129778,,,,,,,,814082,353448,737346,321142,12426,4438,48822,21957,15488,5911,32306,60187,32758
